SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,TARGET
100249,Cash loans,F,N,Y,2,67500.0,76410.0,0
100250,Cash loans,F,Y,N,1,72000.0,90000.0,0
100251,Cash loans,M,Y,Y,0,202500.0,270000.0,0
100252,Cash loans,F,N,Y,0,225000.0,490495.5,0
100254,Cash loans,M,Y,Y,0,292500.0,1078200.0,0
100255,Cash loans,M,Y,Y,0,315000.0,824544.0,0
100257,Cash loans,F,N,Y,0,90000.0,312768.0,0
100258,Cash loans,F,N,Y,0,135000.0,81000.0,0
100259,Cash loans,M,Y,Y,0,180000.0,427500.0,0
100260,Cash loans,M,N,Y,0,180000.0,180000.0,0
100261,Cash loans,F,N,Y,0,90000.0,522000.0,0
100262,Cash loans,M,Y,Y,0,315000.0,1575000.0,0
100263,Cash loans,F,N,Y,0,108000.0,585000.0,0
100264,Cash loans,F,N,Y,0,121500.0,1215000.0,0
100265,Cash loans,F,N,Y,0,112500.0,723996.0,0
100266,Cash loans,F,N,N,0,157500.0,1256400.0,0
100267,Cash loans,M,N,Y,0,225000.0,675000.0,0
100268,Cash loans,F,N,N,0,85500.0,225000.0,0
100269,Cash loans,M,N,Y,0,180000.0,427450.5,0
100270,Revolving loans,F,N,Y,0,90000.0,337500.0,0
100272,Revolving loans,F,N,Y,1,135000.0,180000.0,0
100273,Cash loans,F,N,Y,0,157500.0,1710000.0,1
100274,Cash loans,M,Y,Y,0,308250.0,1305000.0,0
100275,Cash loans,F,Y,Y,0,108000.0,646920.0,0
100276,Cash loans,F,Y,Y,0,135000.0,497520.0,0
100277,Cash loans,M,Y,N,0,67500.0,364896.0,0
100279,Cash loans,M,N,Y,0,180000.0,254700.0,0
100281,Cash loans,F,N,Y,1,112500.0,675000.0,0
100282,Revolving loans,F,Y,Y,0,73341.0,135000.0,1
100283,Cash loans,F,N,Y,0,135000.0,747000.0,0
100284,Cash loans,M,Y,Y,2,180000.0,675000.0,0
100285,Revolving loans,F,N,Y,0,112500.0,180000.0,0
100286,Cash loans,M,Y,Y,1,121500.0,263686.5,1
100287,Cash loans,F,N,Y,0,202500.0,225000.0,0
100288,Cash loans,F,N,N,0,157500.0,450000.0,0
100289,Cash loans,M,Y,N,0,202500.0,526491.0,0
100290,Cash loans,M,N,N,0,135000.0,224136.0,0
100291,Cash loans,F,N,N,1,153000.0,292500.0,0
100292,Cash loans,F,N,Y,0,202500.0,675000.0,0
100293,Cash loans,F,N,Y,0,202500.0,1271281.5,0
100294,Cash loans,F,N,Y,0,157500.0,835380.0,0
100295,Cash loans,M,Y,N,1,225000.0,1019205.0,1
100296,Cash loans,M,N,Y,1,225000.0,223884.0,0
100297,Cash loans,M,Y,N,0,135000.0,334152.0,0
100298,Cash loans,F,N,Y,0,270000.0,473760.0,0
100299,Revolving loans,F,N,Y,0,112500.0,540000.0,0
100300,Cash loans,M,N,N,0,63000.0,426645.0,1
100301,Cash loans,M,N,Y,1,112500.0,571486.5,1
100302,Cash loans,F,N,Y,0,180000.0,187704.0,0
100303,Cash loans,F,N,Y,0,292500.0,254700.0,0
100304,Revolving loans,F,N,Y,0,225000.0,675000.0,0
100305,Cash loans,M,Y,Y,0,135000.0,237024.0,0
100307,Cash loans,M,N,Y,0,225000.0,451804.5,0
100308,Cash loans,M,N,N,0,157500.0,208512.0,0
100309,Cash loans,F,N,Y,0,157500.0,263686.5,0
100310,Cash loans,M,N,N,0,180000.0,1071000.0,0
100313,Cash loans,F,N,Y,0,87750.0,1206954.0,0
100314,Cash loans,M,N,N,2,292500.0,239850.0,0
100315,Cash loans,F,Y,Y,1,121500.0,288873.0,0
100316,Cash loans,F,N,Y,0,67500.0,622413.0,0
100317,Cash loans,F,N,Y,0,180000.0,630000.0,0
100318,Cash loans,F,N,N,0,90000.0,381528.0,0
100319,Cash loans,F,N,Y,1,135000.0,781920.0,0
100320,Cash loans,M,Y,Y,0,225000.0,481855.5,0
100321,Cash loans,M,Y,N,1,270000.0,521280.0,0
100322,Cash loans,M,Y,Y,2,225000.0,254700.0,0
100323,Cash loans,M,Y,Y,0,450000.0,1575000.0,0
100324,Cash loans,F,Y,Y,1,112500.0,152820.0,0
100325,Cash loans,F,N,Y,0,135000.0,640080.0,0
100326,Cash loans,M,Y,Y,0,36000.0,284400.0,1
100327,Cash loans,M,Y,Y,0,180000.0,407727.0,0
100328,Cash loans,F,N,N,1,171000.0,1270746.0,0
100329,Cash loans,F,Y,Y,0,135000.0,247275.0,0
100332,Cash loans,F,N,Y,0,157500.0,545040.0,0
100333,Cash loans,F,N,Y,0,382500.0,450000.0,0
100334,Cash loans,M,N,Y,0,90000.0,101880.0,0
100335,Cash loans,F,N,Y,0,63000.0,675000.0,0
100336,Cash loans,F,Y,Y,0,157500.0,497520.0,1
100337,Cash loans,F,N,Y,0,270000.0,545040.0,0
100338,Cash loans,F,N,N,0,270000.0,630000.0,0
100339,Revolving loans,M,N,Y,0,166500.0,495000.0,0
100340,Cash loans,F,N,N,2,202500.0,787131.0,0
100341,Cash loans,M,Y,Y,0,76500.0,545040.0,0
100342,Cash loans,M,N,N,0,90000.0,101880.0,0
100343,Cash loans,M,Y,Y,0,315000.0,90000.0,0
100344,Cash loans,M,N,N,0,112500.0,225000.0,0
100345,Cash loans,F,N,N,0,157500.0,450000.0,0
100346,Cash loans,F,N,Y,0,180000.0,582804.0,0
100347,Cash loans,F,N,N,0,81000.0,640080.0,0
100348,Cash loans,F,N,N,0,135000.0,1223010.0,0
100349,Cash loans,F,N,N,0,108000.0,364896.0,0
100350,Cash loans,F,N,Y,0,112500.0,481495.5,0
100351,Cash loans,F,N,N,0,69750.0,675000.0,0
100353,Cash loans,F,N,Y,0,81000.0,536917.5,0
100354,Revolving loans,F,N,Y,1,112500.0,135000.0,0
100355,Cash loans,M,N,Y,0,315000.0,946503.0,0
100356,Cash loans,F,N,Y,0,180000.0,188685.0,0
100357,Revolving loans,F,N,Y,0,225000.0,180000.0,0
100359,Cash loans,M,Y,Y,1,112500.0,226908.0,0
100360,Revolving loans,F,N,N,0,67500.0,202500.0,0
100361,Cash loans,M,N,Y,0,270000.0,1800000.0,0
100362,Cash loans,F,N,Y,1,157500.0,807984.0,0
100363,Cash loans,F,Y,Y,1,360000.0,493497.0,0
100364,Cash loans,F,N,N,0,315000.0,1024290.0,0
100365,Cash loans,F,N,Y,0,247500.0,517788.0,0
100366,Revolving loans,M,Y,Y,0,765000.0,1350000.0,0
100368,Cash loans,F,N,Y,0,166500.0,675000.0,0
100369,Cash loans,F,N,Y,0,157500.0,528633.0,0
100370,Cash loans,F,N,Y,0,45000.0,448056.0,0
100371,Cash loans,F,Y,Y,1,450000.0,808650.0,0
100372,Cash loans,F,N,N,0,90000.0,531000.0,0
100373,Cash loans,F,N,N,0,225000.0,906228.0,0
100374,Cash loans,F,Y,Y,2,112500.0,1308964.5,0
100375,Cash loans,M,N,Y,0,180000.0,942300.0,0
100376,Cash loans,M,Y,Y,0,360000.0,254700.0,0
100377,Cash loans,M,N,N,2,157500.0,239850.0,0
100378,Cash loans,F,Y,Y,1,247500.0,808650.0,0
100379,Cash loans,M,Y,Y,0,112500.0,942300.0,0
100380,Cash loans,F,N,Y,0,630000.0,900000.0,0
100381,Cash loans,F,N,N,0,121500.0,302544.0,0
100383,Cash loans,M,Y,N,2,180000.0,640080.0,0
100387,Cash loans,M,Y,Y,2,292500.0,1095817.5,0
100388,Cash loans,F,N,Y,0,99000.0,518562.0,0
100389,Cash loans,M,Y,Y,0,247500.0,1971072.0,0
100390,Cash loans,F,N,N,0,90000.0,555273.0,0
100391,Cash loans,F,N,Y,1,153000.0,808650.0,0
100392,Revolving loans,M,Y,N,2,180000.0,180000.0,0
100393,Cash loans,M,Y,Y,2,405000.0,2250000.0,0
100394,Cash loans,M,N,Y,0,112500.0,178290.0,0
100395,Cash loans,M,Y,Y,0,225000.0,888840.0,0
100396,Cash loans,M,N,N,0,112500.0,417024.0,1
100397,Cash loans,F,N,Y,0,144000.0,1417185.0,0
100398,Cash loans,F,N,Y,0,81000.0,180000.0,0
100400,Cash loans,F,N,N,0,270000.0,536917.5,0
100401,Cash loans,F,N,Y,0,202500.0,343683.0,1
100402,Cash loans,F,N,Y,0,81000.0,276277.5,0
100403,Cash loans,M,Y,Y,0,315000.0,1350000.0,0
100405,Cash loans,M,Y,Y,0,180000.0,450000.0,0
100406,Cash loans,F,N,Y,0,135000.0,468648.0,0
100407,Cash loans,F,N,N,0,157500.0,521280.0,0
100408,Cash loans,F,N,Y,0,81000.0,454500.0,0
100409,Cash loans,M,N,Y,0,112500.0,454500.0,0
100410,Cash loans,F,Y,N,0,180000.0,1258650.0,0
100411,Cash loans,M,Y,N,1,450000.0,1035832.5,0
100412,Cash loans,F,Y,Y,2,135000.0,318528.0,0
100413,Cash loans,M,N,Y,0,90000.0,90000.0,0
100414,Cash loans,F,N,Y,0,112500.0,533304.0,0
100415,Cash loans,F,N,Y,2,112500.0,792162.0,0
100417,Cash loans,F,N,Y,0,180000.0,755190.0,0
100418,Cash loans,F,N,N,0,135000.0,521280.0,0
100419,Cash loans,F,N,Y,0,112500.0,454500.0,0
100420,Cash loans,F,N,Y,3,54000.0,91692.0,0
100421,Cash loans,M,Y,N,0,450000.0,900000.0,0
100423,Cash loans,F,Y,Y,0,472500.0,1327648.5,0
100424,Cash loans,M,N,Y,0,112500.0,117162.0,1
100425,Cash loans,F,Y,Y,2,90000.0,688500.0,0
100427,Cash loans,F,N,N,1,67500.0,450000.0,0
100428,Cash loans,F,Y,Y,0,90000.0,1224990.0,0
100429,Cash loans,M,N,Y,0,180000.0,629325.0,0
100430,Cash loans,F,N,Y,1,90000.0,157914.0,0
100431,Cash loans,F,N,Y,1,157500.0,1724220.0,0
100432,Cash loans,F,N,N,0,90000.0,495000.0,0
100433,Cash loans,F,N,Y,1,157500.0,472500.0,0
100434,Cash loans,F,N,Y,1,202500.0,280170.0,0
100435,Cash loans,F,N,Y,0,112500.0,450000.0,0
100436,Revolving loans,F,N,Y,0,112500.0,405000.0,0
100437,Cash loans,F,N,Y,1,67500.0,817560.0,0
100439,Cash loans,M,N,Y,0,81000.0,312840.0,1
100440,Cash loans,F,N,Y,0,40500.0,127350.0,0
100441,Cash loans,F,N,Y,0,135000.0,269550.0,0
100442,Cash loans,F,N,N,0,148500.0,805536.0,0
100443,Cash loans,F,N,Y,0,144000.0,456273.0,0
100448,Cash loans,F,N,Y,2,202500.0,598486.5,0
100449,Cash loans,F,N,Y,0,157500.0,942300.0,0
100451,Cash loans,F,N,Y,0,144000.0,446931.0,0
100452,Cash loans,M,N,Y,1,171000.0,1009566.0,1
100453,Cash loans,M,Y,N,2,247500.0,521280.0,0
100454,Revolving loans,M,Y,Y,3,607500.0,1350000.0,0
100455,Cash loans,F,Y,Y,2,135000.0,830214.0,0
100456,Cash loans,M,Y,Y,1,211500.0,545040.0,0
100457,Revolving loans,F,Y,Y,0,211500.0,270000.0,0
100458,Cash loans,F,N,N,0,90000.0,808650.0,0
100459,Revolving loans,M,Y,Y,0,270000.0,225000.0,0
100460,Revolving loans,F,N,N,0,315000.0,540000.0,0
100461,Cash loans,F,Y,Y,0,252000.0,288873.0,0
100462,Cash loans,M,N,N,0,111919.5,152820.0,0
100463,Cash loans,F,N,N,0,112500.0,263686.5,0
100464,Cash loans,M,N,N,0,112500.0,345510.0,0
100465,Cash loans,M,N,N,0,135000.0,545040.0,0
100467,Cash loans,F,N,N,0,81000.0,225000.0,0
100468,Cash loans,F,Y,N,0,112500.0,900000.0,0
100469,Revolving loans,M,Y,Y,0,450000.0,1350000.0,0
100470,Cash loans,F,Y,Y,0,225000.0,1345500.0,0
100471,Cash loans,F,Y,Y,1,112500.0,697500.0,0
100472,Cash loans,M,Y,Y,1,135000.0,545040.0,1
100473,Cash loans,M,Y,Y,0,405000.0,1483231.5,0
100474,Revolving loans,M,Y,N,0,450000.0,900000.0,0
100475,Revolving loans,F,Y,Y,0,405000.0,495000.0,0
100476,Cash loans,M,Y,Y,1,225000.0,509922.0,0
100477,Cash loans,M,Y,Y,1,112500.0,284400.0,1
100478,Cash loans,F,N,Y,1,90000.0,393543.0,0
100479,Revolving loans,M,Y,Y,0,90000.0,180000.0,0
100480,Cash loans,M,N,N,0,450000.0,473760.0,0
100481,Revolving loans,M,Y,Y,0,180000.0,540000.0,0
100482,Cash loans,F,Y,Y,0,112500.0,445500.0,0
100485,Revolving loans,M,Y,N,1,270000.0,810000.0,1
100486,Cash loans,F,N,Y,0,58500.0,172021.5,0
100487,Cash loans,M,Y,N,0,121500.0,630747.0,0
100488,Cash loans,F,Y,N,1,270000.0,364896.0,0
100489,Cash loans,M,N,Y,0,90000.0,238500.0,0
100490,Cash loans,M,N,N,0,135000.0,755190.0,1
100491,Cash loans,M,Y,N,0,193500.0,314100.0,0
100492,Cash loans,F,N,Y,3,450000.0,716161.5,0
100493,Cash loans,F,Y,Y,0,270000.0,1288350.0,0
100495,Cash loans,F,Y,N,1,112500.0,832500.0,0
100496,Cash loans,F,N,Y,0,450000.0,1125000.0,0
100497,Revolving loans,M,N,Y,0,135000.0,180000.0,0
100498,Cash loans,M,N,Y,0,112500.0,485190.0,0
100499,Cash loans,F,Y,Y,0,225000.0,678996.0,0
100500,Cash loans,F,N,N,0,202500.0,840951.0,0
100501,Cash loans,M,N,N,1,247500.0,1125000.0,0
100502,Cash loans,F,Y,Y,0,202500.0,485640.0,0
100503,Cash loans,F,N,Y,0,189000.0,876019.5,0
100504,Cash loans,F,N,Y,0,157500.0,187704.0,0
100505,Cash loans,M,Y,Y,3,225000.0,675000.0,0
100506,Cash loans,M,Y,Y,0,112500.0,345645.0,0
100507,Cash loans,M,N,N,1,202500.0,450000.0,0
100508,Cash loans,F,Y,Y,0,450000.0,1971072.0,0
100509,Cash loans,F,N,Y,0,90000.0,339241.5,0
100511,Cash loans,F,N,N,0,85500.0,454500.0,0
100513,Cash loans,F,N,Y,0,180000.0,848745.0,0
100514,Cash loans,M,N,Y,0,270000.0,265306.5,0
100515,Cash loans,F,N,Y,0,157500.0,1032093.0,0
100516,Cash loans,F,N,N,0,157500.0,117000.0,0
100518,Revolving loans,F,N,Y,0,117000.0,202500.0,0
100519,Cash loans,F,N,N,0,112500.0,625536.0,0
100520,Revolving loans,F,N,Y,0,135000.0,270000.0,0
100521,Revolving loans,F,N,N,0,157500.0,225000.0,0
100522,Cash loans,F,Y,Y,1,180000.0,343683.0,0
100523,Cash loans,M,Y,Y,0,225000.0,1096020.0,0
100524,Cash loans,M,N,Y,0,112500.0,284400.0,0
